CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,EventId,Source,SampleType,SampleDate,SampleDepth,SampleReplicate,ReportedParameter,ReportedValue,ReportedUnits,WQMethod
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,24960.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,SPCOND,24970.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,23560.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,SPCOND,23590.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,24020.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,SPCOND,24140.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,23750.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,PH,7.85,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,WTEMP,26.39,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,PH,7.84,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,WTEMP,26.39,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,PH,7.74,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,WTEMP,26.31,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,PH,7.74,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,WTEMP,26.3,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,PH,7.54,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,WTEMP,25.9,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,PH,7.54,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,WTEMP,25.88,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,PH,7.53,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,WTEMP,25.92,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,PH,7.5,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,WTEMP,25.83,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,PH,7.55,SU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.09,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,95.1,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,13.87,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,DO,7.03,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,DO_SAT_P,94.3,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11506,38.07639,-76.1032,215587.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,SALINITY,13.91,PSU,F01 
